State_Name,Transaction_count
Andaman & Nicobar Islands,14505.25
Andhra Pradesh,19444778.0
Arunachal Pradesh,108807.25
Assam,2201694.25
Bihar,11139221.25
Chandigarh,595757.75
Chhattisgarh,3483279.5
Dadra & Nagar Haveli & Daman & Diu,261208.0
Delhi,16057811.0
Goa,311184.5
Gujarat,9940490.0
Haryana,7960977.0
Himachal Pradesh,841062.5
Jammu & Kashmir,1940791.25
Jharkhand,4934416.25
Karnataka,24981419.5
Kerala,2881136.75
Ladakh,20293.5
Lakshadweep,1563.75
Madhya Pradesh,14277836.75
Maharashtra,29075383.75
Manipur,165289.5
Meghalaya,97212.5
Mizoram,35042.5
Nagaland,85537.0
Odisha,16290729.5
Puducherry,183177.0
Punjab,3200210.25
Rajasthan,13195552.0
Sikkim,95422.25
Tamil Nadu,13737568.0
Telangana,16885323.25
Tripura,297119.5
Uttar Pradesh,23216217.75
Uttarakhand,2089675.0
West Bengal,30002908.75
